Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
1823;-1.51;-10.16;-1.41;0.06;0.95;-0.08;-3.22;1.19;-0.91
1832;-1.35;-9.94;-1.44;0.06;0.95;-0.08;-4.13;0.63;-0.98
1841;-1.23;-9.93;-1.46;0.06;0.95;-0.08;-4.34;0.35;-0.91
1850;-1.36;-9.99;-1.36;0.06;0.94;-0.09;-3.78;-1.12;-1.26
1858;-1.36;-9.91;-1.24;0.06;0.94;-0.09;-3.29;-1.33;-0.63
1867;-1.39;-10.01;-1.16;0.06;0.94;-0.09;-2.38;-1.54;-0.14
1876;-1.44;-10.10;-1.19;0.07;0.94;-0.10;-1.82;-0.98;0.14
1885;-1.46;-10.06;-1.10;0.07;0.94;-0.10;-1.05;-0.42;1.05
1893;-1.34;-9.98;-1.21;0.07;0.94;-0.10;-0.56;-0.28;0.98
1902;-1.29;-9.96;-1.21;0.06;0.95;-0.08;-0.21;0.28;1.19
1911;-1.31;-9.99;-1.22;0.06;0.95;-0.08;-0.42;-0.35;1.26
1920;-1.38;-9.81;-1.27;0.06;0.95;-0.08;-0.98;-0.70;0.70
1928;-1.30;-9.87;-1.35;0.05;0.94;-0.09;-1.96;-1.05;0.14
1937;-1.29;-9.78;-1.22;0.05;0.94;-0.09;-2.17;-1.19;-0.14
1946;-1.33;-9.90;-1.26;0.05;0.94;-0.09;-1.89;-1.33;-0.42
1955;-1.39;-9.84;-1.18;0.06;0.93;-0.09;-1.61;-0.98;-0.49
1964;-1.36;-9.93;-1.25;0.06;0.93;-0.09;-0.98;-0.98;0.00
1972;-1.44;-9.94;-1.13;0.06;0.93;-0.09;-0.28;-0.42;0.14
1981;-1.36;-9.95;-1.21;0.06;0.95;-0.09;0.28;0.28;0.49
1990;-1.31;-9.99;-1.28;0.06;0.95;-0.09;0.56;0.77;1.05
1999;-1.40;-9.96;-1.34;0.06;0.95;-0.09;0.49;0.28;0.84
2007;-1.46;-9.81;-1.46;0.07;0.95;-0.10;0.07;0.00;0.42
2016;-1.28;-9.89;-1.36;0.07;0.95;-0.10;-1.05;-0.91;0.07
2025;-1.21;-9.88;-1.41;0.07;0.95;-0.10;-1.68;-0.98;-0.49
2034;-1.36;-9.95;-1.27;0.06;0.95;-0.09;-1.96;-1.40;-0.35
2043;-1.35;-9.96;-1.28;0.06;0.95;-0.09;-1.47;-1.75;-0.07
2051;-1.34;-9.99;-1.15;0.06;0.95;-0.09;-0.21;-2.03;0.00
2060;-1.34;-10.06;-1.16;0.07;0.94;-0.08;0.21;-0.84;0.63
2069;-1.38;-9.95;-1.23;0.07;0.94;-0.08;0.91;-0.21;0.91
2078;-1.33;-9.86;-1.27;0.07;0.94;-0.08;0.14;-0.07;0.98
2087;-1.38;-9.86;-1.23;0.07;0.94;-0.08;-0.56;-0.07;0.77
2095;-1.31;-9.81;-1.27;0.07;0.94;-0.08;-0.70;-0.56;0.14
2104;-1.28;-9.88;-1.29;0.07;0.94;-0.08;-0.91;-0.56;-0.21
2113;-1.27;-9.87;-1.35;0.06;0.94;-0.09;-1.61;-0.49;-0.70
2122;-1.28;-9.87;-1.23;0.06;0.94;-0.09;-1.75;-0.84;-0.91
2130;-1.34;-10.01;-1.25;0.06;0.95;-0.09;-1.68;-1.12;-1.19
2139;-1.36;-9.99;-1.16;0.06;0.95;-0.09;-1.12;-0.63;-0.49
2148;-1.41;-10.09;-1.22;0.06;0.95;-0.09;-0.91;-0.70;-0.42
2157;-1.36;-10.04;-1.19;0.06;0.94;-0.10;-1.05;-0.42;0.07
2166;-1.36;-9.96;-1.26;0.06;0.94;-0.10;-1.26;0.00;0.56
2174;-1.28;-9.87;-1.20;0.06;0.94;-0.10;-0.84;0.14;0.84
2183;-1.30;-9.96;-1.11;0.06;0.95;-0.08;-1.26;0.21;0.70
2192;-1.34;-9.93;-1.24;0.06;0.95;-0.08;-0.91;-0.35;0.49
