Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
7801.0;1.17;-1.49;9.39;0.07;0.06;0.19;0.21;1.12;0.21
7802.0;1.12;-1.41;9.41;0.07;0.06;0.19;0.56;3.08;0.56
7803.0;1.2;-1.48;9.42;0.07;0.06;0.19;1.05;4.41;1.05
7804.0;1.19;-1.47;9.49;0.08;0.07;0.19;0.21;2.03;0.21
7805.0;1.21;-1.53;9.41;0.08;0.07;0.19;0.21;2.24;0.21
7806.0;1.23;-1.52;9.42;0.08;0.07;0.19;-0.14;2.59;-0.14
7807.0;1.13;-1.63;9.43;0.08;0.06;0.19;-0.14;1.61;-0.14
7808.0;1.08;-1.49;9.42;0.08;0.06;0.19;1.54;3.5;1.54
7809.0;1.19;-1.51;9.39;0.08;0.06;0.18;0.35;3.43;0.35
7810.0;1.17;-1.51;9.48;0.08;0.06;0.18;0.28;1.4;0.28
7811.0;1.19;-1.5;9.45;0.08;0.06;0.18;-0.63;1.96;-0.63
7812.0;1.15;-1.54;9.47;0.08;0.06;0.19;-0.42;2.17;-0.42
7813.0;1.21;-1.56;9.4;0.08;0.06;0.19;1.05;2.31;1.05
7814.0;1.08;-1.54;9.39;0.08;0.06;0.2;0.63;3.43;0.63
7815.0;1.3;-1.56;9.53;0.08;0.06;0.2;0.49;3.08;0.49
7816.0;1.13;-1.52;9.4;0.08;0.06;0.2;0.07;1.47;0.07
7817.0;1.16;-1.49;9.43;0.08;0.05;0.2;0.07;1.96;0.07
7818.0;1.2;-1.55;9.38;0.08;0.05;0.2;0.28;3.01;0.28
7819.0;1.08;-1.59;9.53;0.09;0.06;0.18;1.4;3.15;1.4
7820.0;1.21;-1.46;9.48;0.09;0.06;0.18;0.63;2.66;0.63
7821.0;1.2;-1.54;9.45;0.09;0.06;0.18;0.28;2.03;0.28
7822.0;1.11;-1.49;9.49;0.09;0.05;0.19;-0.07;0.77;-0.07
7823.0;1.09;-1.42;9.47;0.09;0.05;0.19;-0.21;2.1;-0.21
